,Name,Birthday,Nationality,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests
0,Franchón Crews-Dezurn,1987-06-13,"Virginia Beach, Virginia, U.S.",Super middleweight,5 ft 8 in (173 cm)[1],72 in (183 cm),Orthodox,12,9,2,2,,1
1,Savannah Marshall,1991-05-19,"Hartlepool, England",Middleweight/Super-middleweight,6 ft 0 in (183 cm)[1],72 in (183 cm)[1],,14,13,10,1,,
2,Claressa Shields,1995-03-17,,Light middleweight/Middleweight/Super middleweight/Lightweight,5 ft 8 in (173 cm),68 in (173 cm)[2],,,2,,1,,
3,Jessica McCaskill,,,,,,,,,,,,
4,Chantelle Cameron,1991-05-14,"Northampton, England",Super-featherweight/Lightweight/Light-welterweight,5 ft 8 in (173 cm)[1],,Orthodox,19,18,8,1,,
5,Katie Taylor,1986-07-02,"Bray, County Wicklow, Ireland",Lightweight/Super-lightweight,5 ft 5 in (165 cm)[1],66 in (168 cm)[1],Orthodox,24,23,6,1,,
6,Mikaela Mayer,1990-07-04,"Los Angeles, California, U.S.",Super featherweight/Lightweight,5 ft 9 in (175 cm)[1],66+1⁄2 in (169 cm),Orthodox,21,19,5,2,,
7,Alycia Baumgardner,1994-05-24,"Fremont, Ohio, U.S.",Super featherweight,5 ft 6 in (168 cm),66 in (168 cm),Orthodox,15,14,7,1,,
8,Amanda Serrano,1988-10-09,"Carolina, Puerto Rico",Super flyweight/Bantamweight/Super bantamweight/Featherweight/Super featherweight/Lightweight/Light welterweight,5 ft 5+1⁄2 in (166 cm)[1],65+1⁄2 in (166 cm)[1],Southpaw,49,2,30,0,1,
9,Dina Thorslund,1993-10-14,"Copenhagen, Denmark",Bantamweight/Super bantamweight,5 ft 4 in (163 cm),,Orthodox,21,21,9,,,
10,Marlen Esparza,1989-07-29,"Pasadena, Texas, U.S.",Flyweight,5 ft 3 in (160 cm),64 in (163 cm),Orthodox,15,14,1,1,,
11,Seniesa Estrada,1992-06-26,"Los Angeles, California, U.S.",Mini flyweight/Light flyweight/Flyweight,5 ft 2 in (157 cm),63 in (160 cm),Orthodox,25,25,9,,,
12,Zongju Cai,,,,,,,,,,,,
13,Sarah Bormann,,,,,,,,,,,,
14,Nina Radovanović,1991-12-19,"Belgrade, SFR Yugoslavia (present day Serbia)",Flyweight,1.62 m (5 ft 4 in),,,,,,,,
15,Gloria Gallardo,1938-10-16,"San Antonio, Texas",,,,,,,,,,
16,Eva Voraberger,,,,,,,,,,,,
17,Esmeralda Moreno,1987-07-07,"Chimalhuacán, Mexico, Mexico",Light flyweight/Super flyweight,,,,49,35,11,12,2,
18,Daniela Asenjo,,,,,,,,,,,,
19,Sharadene Fortuin,,,,,,,,,,,,
20,Melissa Oddessa Parker,,,,,,,,,,,,
21,Vissia Trovato,,,,,,,,,,,,
22,Ségolène Lefebvre,,,,,,,,,,,,
23,Mea Motu,,,,,,,18,18,6,0,0,
24,Iwona Guzowska,,,,,,,,,,,,
25,Licia Boudersa,,,,,,,,,,,,
26,Firuza Sharipova,,,,,,,,,,,,
27,Terri Harper,1996-11-02,"Denaby Main, Yorkshire, England",Super-featherweight/Lightweight/Super-welterweight,5 ft 5 in (165 cm)[1],65 in (165 cm)[1],Orthodox,16,14,6,1,2,
28,Estelle Yoka Mossely,,,,,,,,,,,,
29,Lucia Rijker,1967-12-06,,,1.68 m (5 ft 6 in),,,,35,,0,1,
30,Agnieszka Rylik,,,,,,,,,,,,
31,Esther Phiri,1987-06-14,"Lusaka, Zambia",Bantam weight,,,,19,14,5,1,3,1
32,Svetlana Kulakova,,,,,,,,,,,,
33,Kali Reis,1986-08-24,"Providence, Rhode Island, U.S.",Light welterweight/Welterweight/Light middleweight/Middleweight,5 ft 8 in (173 cm),,Orthodox,27,19,5,7,1,
34,Jennifer Retzke,,,,,,,,,,,,
35,Cecilia Braekhus,1981-09-28,"Cartagena, Colombia",Welterweight/Super welterweight,1.71 m (5 ft 7 in),,Orthodox,39,37,9,2,1,
36,Mikaela Laurén,,,,,,,,,,,,
37,Hannah Rankin,1990-07-21,"Luss, Argyll and Bute, Scotland",Light-middleweight/Middleweight/Super-middleweight,5 ft 8 in (173 cm),,Orthodox,18,12,3,6,,
38,Patricia Berghult,1994-05-02,"Malmö, Sweden",Light-welterweight/Light-middleweight,5 ft 8+1⁄2 in (174 cm),,Orthodox,16,15,3,1,,
39,Ivana Habazin,,,,,,,,,,,,
40,Sonya Lamonakis,1974-10-07,Greece,Heavyweight/[1],5 ft 7 in (1.70 m)[2],71.0 in (180 cm),,14,10,1,2,3,
41,Nao Ikeyama,1969-09-18,"Maniwa, Okayama, Japan",Atomweight/Minimumweight,5 ft 0.5 in (154 cm),,Orthodox,29,18,5,7,4,
42,Mika Iwakawa,,,,,,,,,,,,
43,Nanae Suzuki,1992-05-12,"Ichikawa, Chiba, Japan",Atomweight,5 ft 1 in (155 cm),,Orthodox,18,11,1,6,1,
44,Yuko Kuroki,,,,,,,,,,,,
45,Eri Matsuda,,,,,,,,,,,,
46,Teeraporn Pannimit,,,,,,,,,,,,
47,Hong Su-yun,1987-02-09,"Hwaseong, South Korea",Mini flyweight/Light flyweight,5 ft 3 in (160 cm),63 in (160 cm),Southpaw,17,15,7,1,1,
48,Mako Yamada,,,,,,,,,,,,
49,Kumiko Seeser Ikehara,,,,,,,,,,,,
50,Kayoko Ebata,,,,,,,,,,,,
51,Etsuko Tada,1989-05-28,"Nishinomiya, Japan",Mini-flyweight,5 ft 3+1⁄2 in (161 cm),63 in (160 cm),Southpaw,27,20,7,4,3,
52,Kasumi Saeki,1996-07-16,"Konohana-ku, Osaka, Japan",Light flyweight,1.54 m (5 ft 1 in)[1],,Orthodox,4,4,3,,,
53,Nguyễn Thị Thu Nhi,,,,,,,,,,,,
