,Name,Birthday,Nationality,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests
0,Jessica McCaskill,1984-09-08,"St. Louis, Missouri, U.S.[2]",Lightweight/Light welterweight/Welterweight,5 ft 6 in (168 cm)[1],69 in (175 cm)[1],Orthodox,16,12,5,3,1,
1,Zongju Cai,,,,,,,,,,,,
2,Sarah Bormann,,,,,,,,,,,,
3,Eva Voraberger,,,,,,,,,,,,
4,Daniela Asenjo,,,,,,,,,,,,
5,Sharadene Fortuin,,,,,,,,,,,,
6,Melissa Oddessa Parker,,,,,,,,,,,,
7,Vissia Trovato,,,,,,,,,,,,
8,Ségolène Lefebvre,1993-05-30,,Super-bantamweight/Super-featherweight,,,Orthodox,18,18,1,0,,
9,Iwona Guzowska,,,,,,,,,,,,
10,Licia Boudersa,,,,,,,,,,,,
11,Firuza Sharipova,1994-08-29,"Taraz (Zhambyl), Kazakhstan",Super-featherweight/Lightweight/Light-welterweight,166 cm (5 ft 5+1⁄2 in),166 cm (65 in),Orthodox,17,15,8,2,,
12,Estelle Yoka Mossely,1992-08-19,"Paris, France",Lightweight,5 ft 6 in (168 cm),,Orthodox,11,11,1,,,
13,Agnieszka Rylik,,,,,,,,,,,,
14,Svetlana Kulakova,,,,,,,,,,,,
15,Jennifer Retzke,,,,,,,,,,,,
16,Mikaela Laurén,1976-01-20,"Stockholm, Sweden",Welterweight/Light-middleweight/Middleweight,1.78 m (5 ft 10 in),,Orthodox,38,32,13,6,,
17,Ivana Habazin,,,,,,,,,,,,
18,Mika Iwakawa,1983-07-26,"Kōnan, Kōchi, Japan",Atomweight/Minimumweight/Light-flyweight,161 cm (5 ft 3 in)[1],,Orthodox,20,12,4,7,1,
19,Yuko Kuroki,,,,,,,,,,,,
20,Eri Matsuda,,,,,,,,,,,,
21,Teeraporn Pannimit,1992-08-10,"Phra Nakhon Si Ayutthaya province, Thailand",Light flyweight/Strawweight,5 ft 0 in (152 cm),,Orthodox,29,20,5,9,,
22,Mako Yamada,1994-05-26,,Mini flyweight/Atomweight,153 cm (5 ft 0 in),,Orthodox,,13,,1,2,
23,Kumiko Seeser Ikehara,,,,,,,,,,,,
24,Kayoko Ebata,,,,,,,,,,,,
25,Nguyễn Thị Thu Nhi,1996-10-22,"Ho Chi Minh City, Vietnam[1]",Mini-flyweight,5 ft 2 in (157 cm)[1],,Orthodox,6,5,1,1,,
26,Yesica Bopp,,,,,,,,,,,,
27,Eun Hye Lee,,,,,,,,,,,,
28,Naoko Fujioka,,,,,,,,,,,,
29,[8],,,,,,,,,,,,
30,Melissa McMorrow,,,,,,,,,,,,
31,Nana Yoshikawa,,,,,,,,,,,,
32,Arely Muciño,1989-05-20,"Monterrey, Nuevo León, Mexico",Light flyweight/Flyweight/Super flyweight,5 ft 2 in (157 cm),,Orthodox,34,28,10,3,2,1
33,Debora Anahí López,,,,,,,,,,,,
34,Carolina Raquel Duer,1978-08-05,"Buenos Aires, Argentina",Super flyweight/Bantamweight,,,Orthodox,28,20,6,6,2,
35,Raja Amasheh,,,,,,,,,,,,
36,Miyo Yoshida,1988-04-12,"Kagoshima, Kagoshima Prefecture, Japan",Super-flyweight/Bantamweight,5 ft 3+1⁄2 in (161 cm),63+1⁄2 in (161 cm),Orthodox,21,17,0,4,,
37,Tamao Ozawa,,,,,,,,,,,,
38,Kaliesha West,1988-02-11,"South Haven, Michigan, U.S.",Super Bantamweight,5 ft 5 in (165 cm),71 in (180 cm),Orthodox,21,17,4,1,3,0
39,Mayra Alejandra Gómez,,,,,,,,,,,,
40,Yésica Patricia Marcos,,,,,,,,,,,,
41,Ina Menzer,,,,,,,,,,,,
42,Heather Hardy,1982-01-25,,Flyweight/Super bantamweight/Featherweight,5 ft 5 in (165 cm),64 in (163 cm),Orthodox,,2,,2,,
43,Ramona Kuehne,,,,,,,,,,,,
44,Enis Pacheco,,,,,,,,,,,,
45,María Elena Maderna,,,,,,,,,,,,
46,Yohana Belén Alfonzo,,,,,,,,,,,,
47,Fernanda Soledad Alegre,,,,,,,,,,,,
48,Adela Celeste del Carmen Peralta,,,,,,,,,,,,
49,Ana Laura Esteche,,,,,,,,,,,,
50,Cecilia Brækhus,,,,,,,,,,,,
51,Oxandia Castillo,,,,,,,,,,,,
52,Christina Hammer,,,,,,,,,,,,
53,Nanako Kikuchi,,,,,,,,,,,,
54,Carina Moreno,,,,,,,,,,,,
55,Mari Ando,,,,,,,,,,,,
56,Eun Soon Choi,,,,,,,,,,,,
57,Naomi Togashi - Interim champion promoted,,,,,,,,,,,,
58,Ibeth Zamora Silva,1989-02-06,"San Cristóbal Huichochitlán, Toluca, Mexico",Mini flyweight/Light flyweight/Flyweight,5 ft 2 in (157 cm),65 in (165 cm),Orthodox,39,32,12,7,,
59,Kim Clavel,,,,,,,,,,,,
60,Yesica Nery Plata,1994-05-17,,Light flyweight/Flyweight,,,Orthodox,32,30,3,2,,
