,Name,Birthday,Place_of_birth,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests,Sex,Height_cm,Reach_cm,Country
0,Franchón Crews-Dezurn,1987-06-13,"Virginia Beach, Virginia, U.S.",Super middleweight,5 ft 8 in (173 cm)[1],72 in (183 cm),Orthodox,12,9,2,2,,1,F,173 ,183 ,USA
1,Savannah Marshall,1991-05-19,"Hartlepool, England",Middleweight/Super-middleweight,6 ft 0 in (183 cm)[1],72 in (183 cm)[1],,14,13,10,1,,,F,183 ,183 ,England
2,Claressa Shields,1995-03-17,,Light middleweight/Middleweight/Super middleweight/Lightweight,5 ft 8 in (173 cm),68 in (173 cm)[2],,,2,,1,,,F,173 ,173 ,unknown
3,Chantelle Cameron,1991-05-14,"Northampton, England",Super-featherweight/Lightweight/Light-welterweight,5 ft 8 in (173 cm)[1],,Orthodox,19,18,8,1,,,F,173 ,,England
4,Katie Taylor,1986-07-02,"Bray, County Wicklow, Ireland",Lightweight/Super-lightweight,5 ft 5 in (165 cm)[1],66 in (168 cm)[1],Orthodox,24,23,6,1,,,F,165 ,168 ,Ireland
5,Mikaela Mayer,1990-07-04,"Los Angeles, California, U.S.",Super featherweight/Lightweight,5 ft 9 in (175 cm)[1],66+1⁄2 in (169 cm),Orthodox,21,19,5,2,,,F,175 ,169 ,USA
6,Alycia Baumgardner,1994-05-24,"Fremont, Ohio, U.S.",Super featherweight,5 ft 6 in (168 cm),66 in (168 cm),Orthodox,15,14,7,1,,,F,168 ,168 ,USA
7,Amanda Serrano,1988-10-09,"Carolina, Puerto Rico",Super flyweight/Bantamweight/Super bantamweight/Featherweight/Super featherweight/Lightweight/Light welterweight,5 ft 5+1⁄2 in (166 cm)[1],65+1⁄2 in (166 cm)[1],Southpaw,49,2,30,0,1,,F,166 ,166 ,Puerto Rico
8,Dina Thorslund,1993-10-14,"Copenhagen, Denmark",Bantamweight/Super bantamweight,5 ft 4 in (163 cm),,Orthodox,21,21,9,,,,F,163 ,,Denmark
9,Marlen Esparza,1989-07-29,"Pasadena, Texas, U.S.",Flyweight,5 ft 3 in (160 cm),64 in (163 cm),Orthodox,15,14,1,1,,,F,160 ,163 ,USA
10,Seniesa Estrada,1992-06-26,"Los Angeles, California, U.S.",Mini flyweight/Light flyweight/Flyweight,5 ft 2 in (157 cm),63 in (160 cm),Orthodox,25,25,9,,,,F,157 ,160 ,USA
11,Nina Radovanović,1991-12-19,"Belgrade, SFR Yugoslavia (present day Serbia)",Flyweight,1.62 m (5 ft 4 in),,,,,,,,,F,162 ,,Serbia
12,Gloria Gallardo,1938-10-16,"San Antonio, Texas",,,,,,,,,,,F,,,USA
13,Esmeralda Moreno,1987-07-07,"Chimalhuacán, Mexico, Mexico",Light flyweight/Super flyweight,,,,49,35,11,12,2,,F,,,Mexico
14,Mea Motu,,,,,,,18,18,6,0,0,,F,,,unknown
15,Terri Harper,1996-11-02,"Denaby Main, Yorkshire, England",Super-featherweight/Lightweight/Super-welterweight,5 ft 5 in (165 cm)[1],65 in (165 cm)[1],Orthodox,16,14,6,1,2,,F,165 ,165 ,England
16,Lucia Rijker,1967-12-06,,,1.68 m (5 ft 6 in),,,,35,,0,1,,F,168 ,,unknown
17,Esther Phiri,1987-06-14,"Lusaka, Zambia",Bantam weight,,,,19,14,5,1,3,1,F,,,Zambia
18,Kali Reis,1986-08-24,"Providence, Rhode Island, U.S.",Light welterweight/Welterweight/Light middleweight/Middleweight,5 ft 8 in (173 cm),,Orthodox,27,19,5,7,1,,F,173 ,,USA
19,Cecilia Braekhus,1981-09-28,"Cartagena, Colombia",Welterweight/Super welterweight,1.71 m (5 ft 7 in),,Orthodox,39,37,9,2,1,,F,171 ,,Colombia
20,Hannah Rankin,1990-07-21,"Luss, Argyll and Bute, Scotland",Light-middleweight/Middleweight/Super-middleweight,5 ft 8 in (173 cm),,Orthodox,18,12,3,6,,,F,173 ,,Scotland
21,Patricia Berghult,1994-05-02,"Malmö, Sweden",Light-welterweight/Light-middleweight,5 ft 8+1⁄2 in (174 cm),,Orthodox,16,15,3,1,,,F,174 ,,Sweden
22,Sonya Lamonakis,1974-10-07,Greece,Heavyweight/[1],5 ft 7 in (1.70 m)[2],71.0 in (180 cm),,14,10,1,2,3,,F,170 ,180 ,Greece
23,Nao Ikeyama,1969-09-18,"Maniwa, Okayama, Japan",Atomweight/Minimumweight,5 ft 0.5 in (154 cm),,Orthodox,29,18,5,7,4,,F,154 ,,Japan
24,Nanae Suzuki,1992-05-12,"Ichikawa, Chiba, Japan",Atomweight,5 ft 1 in (155 cm),,Orthodox,18,11,1,6,1,,F,155 ,,Japan
25,Hong Su-yun,1987-02-09,"Hwaseong, South Korea",Mini flyweight/Light flyweight,5 ft 3 in (160 cm),63 in (160 cm),Southpaw,17,15,7,1,1,,F,160 ,160 ,South Korea
26,Etsuko Tada,1989-05-28,"Nishinomiya, Japan",Mini-flyweight,5 ft 3+1⁄2 in (161 cm),63 in (160 cm),Southpaw,27,20,7,4,3,,F,161 ,160 ,Japan
