,Name,Birthday,Place_of_birth,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests,Sex,Height_cm,Reach_cm,Country,Nationality,Sign,Weight_class
0,Franchón Crews-Dezurn,1987-06-13,"Virginia Beach, Virginia, U.S.",Super middleweight,5 ft 8 in (173 cm)[1],72 in (183 cm),Orthodox,12,9,2,2,,1,F,173 ,183,USA,American,Gemini,super middleweight
1,Savannah Marshall,1991-05-19,"Hartlepool, England",Middleweight/Super-middleweight,6 ft 0 in (183 cm)[1],72 in (183 cm)[1],,14,13,10,1,,,F,183 ,183,England,British,Taurus,middleweight
2,Claressa Shields,1995-03-17,,Light middleweight/Middleweight/Super middleweight/Lightweight,5 ft 8 in (173 cm),68 in (173 cm)[2],,,2,,1,,,F,173 ,173,USA,American,Pisces,lightweight
3,Chantelle Cameron,1991-05-14,"Northampton, England",Super-featherweight/Lightweight/Light-welterweight,5 ft 8 in (173 cm)[1],,Orthodox,19,18,8,1,,,F,173 ,,England,British,Taurus,super featherweight
4,Katie Taylor,1986-07-02,"Bray, County Wicklow, Ireland",Lightweight/Super-lightweight,5 ft 5 in (165 cm)[1],66 in (168 cm)[1],Orthodox,24,23,6,1,,,F,165 ,168,Ireland,Irish,Cancer,lightweight
5,Mikaela Mayer,1990-07-04,"Los Angeles, California, U.S.",Super featherweight/Lightweight,5 ft 9 in (175 cm)[1],66+1⁄2 in (169 cm),Orthodox,21,19,5,2,,,F,175 ,169,USA,American,Cancer,super featherweight
6,Alycia Baumgardner,1994-05-24,"Fremont, Ohio, U.S.",Super featherweight,5 ft 6 in (168 cm),66 in (168 cm),Orthodox,15,14,7,1,,,F,168 ,168,USA,American,Gemini,super featherweight
7,Amanda Serrano,1988-10-09,"Carolina, Puerto Rico",Super flyweight/Bantamweight/Super bantamweight/Featherweight/Super featherweight/Lightweight/Light welterweight,5 ft 5+1⁄2 in (166 cm)[1],65+1⁄2 in (166 cm)[1],Southpaw,49,2,30,0,1,,F,166 ,166,Puerto Rico,American(Puerto Rican),Libra,super flyweight
8,Dina Thorslund,1993-10-14,"Copenhagen, Denmark",Bantamweight/Super bantamweight,5 ft 4 in (163 cm),,Orthodox,21,21,9,,,,F,163 ,,Denmark,Danish,Libra,bantamweight
9,Marlen Esparza,1989-07-29,"Pasadena, Texas, U.S.",Flyweight,5 ft 3 in (160 cm),64 in (163 cm),Orthodox,15,14,1,1,,,F,160 ,163,USA,American,Leo,flyweight
10,Seniesa Estrada,1992-06-26,"Los Angeles, California, U.S.",Mini flyweight/Light flyweight/Flyweight,5 ft 2 in (157 cm),63 in (160 cm),Orthodox,25,25,9,,,,F,157 ,160,USA,American,Cancer,light flyweight
11,Nina Radovanović,1991-12-19,"Belgrade, SFR Yugoslavia (present day Serbia)",Flyweight,1.62 m (5 ft 4 in),,,,,,,,,F,162 ,,Serbia,Serbian,Capricorn,flyweight
12,Gloria Gallardo,1938-10-16,"San Antonio, Texas",,,,,,,,,,,F,,,USA,American,Libra,
13,Esmeralda Moreno,1987-07-07,"Chimalhuacán, Mexico, Mexico",Light flyweight/Super flyweight,,,,49,35,11,12,2,,F,,,Mexico,Mexican,Cancer,light flyweight
